id,drug,routes,label_rules,structured_rules,notes_from_extraction,dailymed_url,current_status,current_reviewer,decision,reviewer,review_date,notes
everolimus:ORAL,Everolimus,ORAL,All values: Renal impairment: No renal dose adjustment usual adult schedule with therapeutic drug monitoring,,Transplant immunosuppression with trough-guided dosing; renal impairment alone does not require adjustment.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e082a024-7850-400b-a5c2-2a140612562a&version=29,draft,,,,,
apixaban:ORAL,Apixaban,ORAL,"All values: NVAF; usual adult dose when fewer than 2 dose-reduction criteria are present: 5 mg twice daily | NVAF with at least 2 of age >=80 years, body weight <=60 kg, or serum creatinine >=1.5 mg/dL: 2.5 mg twice daily","All values [dialysis=none, indication=nvaf-usual]: 5 mg twice daily
All values [dialysis=none, indication=nvaf-reduced]: 2.5 mg twice daily
All values [dialysis=none, indication=dvt-pe]: 10 mg twice daily for 7 days, then 5 mg twice daily
All values [dialysis=none, indication=recurrent-risk]: 2.5 mg twice daily after at least 6 months treatment
All values [dialysis=none, indication=hip-knee-prophylaxis]: 2.5 mg twice daily
All values [dialysis=hd]: Dialysis dosing requires product-label review manual clinical review required",Adult NVAF renal-related dose criterion is based on serum creatinine plus age/weight; other indications need indication-specific review.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=095a08ac-cf0e-497e-a682-ddef38d6b29c,draft,,,,,
rivaroxaban:ORAL,Rivaroxaban,ORAL,"> 50: NVAF stroke/systemic embolism risk reduction: 20 mg once daily with evening meal
15-50: NVAF stroke/systemic embolism risk reduction: 15 mg once daily with evening meal
>= 15: Treatment of DVT and/or PE; initial 21 days: 15 mg twice daily with food | Treatment of DVT and/or PE; after 21 days: 20 mg once daily with food | Reduction in recurrent DVT/PE risk after at least 6 months of standard anticoagulant treatment: 10 mg once daily with or without food | DVT prophylaxis after hip replacement surgery: 10 mg once daily for 35 days, 6 to 10 hours after surgery once hemostasis established | DVT prophylaxis after knee replacement surgery: 10 mg once daily for 12 days, 6 to 10 hours after surgery once hemostasis established | VTE prophylaxis in acutely ill medical patients not at high bleeding risk: 10 mg once daily for 31 to 39 days
< 15: NVAF stroke/systemic embolism risk reduction: Avoid use CrCl <15 mL/min or dialysis | DVT/PE treatment or recurrent-risk reduction: Avoid use not applicable | DVT prophylaxis after hip or knee replacement surgery: Avoid use not applicable | VTE prophylaxis in acutely ill medical patients: Avoid use not applicable
All values: CAD major cardiovascular event risk reduction: 2.5 mg plus aspirin 75 to 100 mg twice daily; no dose adjustment needed based on CrCl | PAD major thrombotic vascular event risk reduction, including after lower extremity revascularization: 2.5 mg plus aspirin 75 to 100 mg twice daily; no dose adjustment needed based on CrCl","> 50 [dialysis=none, indication=nvaf]: 20 mg once daily with evening meal
15-50 [dialysis=none, indication=nvaf]: 15 mg once daily with evening meal
>= 15 [dialysis=none, indication=dvt-pe-initial]: 15 mg twice daily with food
>= 15 [dialysis=none, indication=dvt-pe-maintenance]: 20 mg once daily with food
>= 15 [dialysis=none, indication=recurrent-risk]: 10 mg once daily with or without food
>= 15 [dialysis=none, indication=hip-prophylaxis]: 10 mg once daily for 35 days
>= 15 [dialysis=none, indication=knee-prophylaxis]: 10 mg once daily for 12 days
All values [dialysis=none, indication=cad-pad]: 2.5 mg plus aspirin 75-100 mg twice daily
< 15 [any]: Avoid use review label for indication
All values [dialysis=hd]: Avoid use / no clean dosing row manual clinical review required",Adult dosing varies substantially by indication; CrCl should be calculated using actual body weight per label.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=65727928-9421-4df8-bff2-f72a9cc78069,draft,,,,,
dabigatran:ORAL,Dabigatran etexilate,ORAL,"> 30: NVAF: 150 mg twice daily | DVT/PE treatment after 5-10 days parenteral anticoagulation, or recurrence risk reduction after previous treatment: 150 mg twice daily
15-30: NVAF: 75 mg twice daily | DVT/PE treatment or recurrence risk reduction: Dosing recommendations cannot be provided not applicable
30-50: NVAF with concomitant dronedarone or systemic ketoconazole: 75 mg twice daily
< 15: NVAF, CrCl <15 mL/min or on dialysis: Dosing recommendations cannot be provided not applicable | DVT/PE treatment or recurrence risk reduction, CrCl <=30 mL/min or on dialysis: Dosing recommendations cannot be provided not applicable
< 30: NVAF with concomitant P-gp inhibitors: Avoid coadministration not applicable
< 50: DVT/PE treatment or recurrence risk reduction with concomitant P-gp inhibitors: Avoid coadministration not applicable","> 30 [dialysis=none, indication=nvaf]: 150 mg twice daily
15-30 [dialysis=none, indication=nvaf]: 75 mg twice daily
30-50 [dialysis=none, indication=nvaf-pgp]: 75 mg twice daily
< 30 [dialysis=none, indication=nvaf-pgp]: Avoid coadministration not applicable
> 30 [dialysis=none, indication=dvt-pe]: 150 mg twice daily
0-30 [dialysis=none, indication=dvt-pe]: Dosing recommendations cannot be provided not applicable
< 50 [dialysis=none, indication=dvt-pe-pgp]: Avoid coadministration not applicable
All values [dialysis=hd]: Dosing recommendations cannot be provided not applicable",Adult capsule dosing; renal and P-gp inhibitor recommendations differ by indication.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=19b3bfc1-4fcb-4eb9-a611-02c27c05c56e,draft,,,,,
edoxaban:ORAL,Edoxaban,ORAL,"> 95: NVAF: Do not use; use another anticoagulant not applicable
50-95: NVAF: 60 mg once daily
15-50: NVAF: 30 mg once daily | DVT/PE after 5-10 days parenteral anticoagulant: 30 mg once daily
> 50: DVT/PE after 5-10 days parenteral anticoagulant; reduce to 30 mg if weight <=60 kg or certain P-gp inhibitors: 60 mg once daily
< 15: NVAF: Not recommended CrCl <15 mL/min | DVT/PE after 5-10 days parenteral anticoagulant: Not recommended CrCl <15 mL/min","> 95 [indication=nvaf]: Do not use; use another anticoagulant not applicable
50-95 [indication=nvaf]: 60 mg once daily
15-50 [indication=nvaf]: 30 mg once daily
< 15 [indication=nvaf]: Not recommended not applicable
> 50 [indication=dvt-pe]: 60 mg once daily
> 50 [indication=dvt-pe-low-weight-pgp]: 30 mg once daily
15-50 [indication=dvt-pe]: 30 mg once daily
15-50 [indication=dvt-pe-low-weight-pgp]: 30 mg once daily
< 15 [indication=dvt-pe]: Not recommended not applicable
< 15 [indication=dvt-pe-low-weight-pgp]: Not recommended not applicable",NVAF has a high-CrCl limitation; DVT/PE dose also depends on body weight and selected P-gp inhibitors.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e77d3400-56ad-11e3-949a-0800200c9a66,draft,,,,,
enoxaparin:SC,Enoxaparin sodium,SC,"< 30: DVT prophylaxis in abdominal surgery: 30 mg once daily | DVT prophylaxis in hip or knee replacement surgery: 30 mg once daily | DVT prophylaxis in medical patients during acute illness: 30 mg once daily | Inpatient treatment of acute DVT with or without PE, with warfarin: 1 mg/kg once daily | Outpatient treatment of acute DVT without PE, with warfarin: 1 mg/kg once daily | Prophylaxis of ischemic complications of unstable angina/non-Q-wave MI with aspirin: 1 mg/kg once daily | Acute STEMI treatment with aspirin, age <75 years: 30 mg IV bolus plus 1 mg/kg SC, then 1 mg/kg SC once daily | Acute STEMI treatment with aspirin, age >=75 years: 1 mg/kg SC; no initial bolus once daily
>= 30: Mild or moderate renal impairment: No renal dose adjustment usual adult schedule by indication; observe for bleeding",">= 30 [any]: No renal dose adjustment usual adult schedule by indication; observe bleeding
< 30 [indication=prophylaxis]: 30 mg once daily
< 30 [indication=dvt-treatment]: 1 mg/kg once daily
< 30 [indication=ua-nstemi]: 1 mg/kg once daily
< 30 [indication=stemi-under-75]: 30 mg IV bolus plus 1 mg/kg SC, then 1 mg/kg SC once daily
< 30 [indication=stemi-75-plus]: 1 mg/kg SC; no initial bolus once daily",Adult prophylaxis/treatment table for severe renal impairment; observe bleeding risk in mild/moderate renal impairment.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3d263380-4f44-4fd8-aa2a-e69702ab258f,draft,,,,,
fondaparinux:SC,Fondaparinux sodium,SC,"< 30: VTE prophylaxis or treatment: Do not use; contraindicated not applicable
30-50: VTE prophylaxis or treatment: Use with caution usual adult schedule by indication","< 30 [any]: Do not use; contraindicated not applicable
30-50 [any]: Use with caution usual adult schedule by indication
> 50 [any]: No renal dose adjustment in label renal section usual adult schedule by indication",Adult VTE prophylaxis/treatment renal contraindication and caution; dose otherwise depends on indication and weight.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ec235119-cb58-4939-942c-11d3923d289f,draft,,,,,
dofetilide:ORAL,Dofetilide,ORAL,"> 60: Starting dose by calculated CrCl, before QT-based adjustment: 500 mcg twice daily
40-60: Starting dose by calculated CrCl, before QT-based adjustment: 250 mcg twice daily
20-39: Starting dose by calculated CrCl, before QT-based adjustment: 125 mcg twice daily
< 20: Calculated CrCl: Contraindicated not applicable",,Initiation/re-initiation requires inpatient ECG monitoring; further adjustments depend on QTc/QT response.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4c1a5a6d-bd69-473c-8caa-d0d242b7708d,draft,,,,,
sotalol:ORAL,Sotalol,ORAL,"> 60: Ventricular arrhythmia dosing interval: Initial 80 mg and subsequent doses every 12 hours | AFIB/AFL dosing interval: Initial 80 mg and subsequent doses every 12 hours
30-59: Ventricular arrhythmia dosing interval: Initial 80 mg and subsequent doses every 24 hours
40-59: AFIB/AFL dosing interval: Initial 80 mg and subsequent doses every 24 hours
10-29: Ventricular arrhythmia dosing interval: Initial 80 mg and subsequent doses every 36 to 48 hours
< 10: Ventricular arrhythmia dosing interval: Individualize dose specialist monitoring
< 40: AFIB/AFL: Contraindicated not applicable","> 60 [indication=ventricular]: Initial 80 mg and subsequent doses every 12 hours
30-59 [indication=ventricular]: Initial 80 mg and subsequent doses every 24 hours
10-29 [indication=ventricular]: Initial 80 mg and subsequent doses every 36 to 48 hours
< 10 [indication=ventricular]: Individualize dose specialist monitoring
> 60 [indication=afib-afl]: Initial 80 mg and subsequent doses every 12 hours
40-60 [indication=afib-afl]: Initial 80 mg and subsequent doses every 24 hours
< 40 [indication=afib-afl]: Contraindicated not applicable",Adult initial dose commonly 80 mg; renal rule modifies interval and AFIB/AFL has stricter contraindication below CrCl 40.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=253da1e1-022a-4175-bd7f-e7673cba0767,draft,,,,,
flecainide:ORAL,Flecainide acetate,ORAL,"0-35: Severe renal impairment, CrCl <=35 mL/min/1.73 m2: 100 mg once daily or 50 mg twice daily
> 35: Less severe renal disease during dosage adjustment: 100 mg every 12 hours",,Initial dosing in renal disease; plasma level monitoring and cautious titration are required.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bc304b04-9373-4e47-905d-6b3367ad3be7,draft,,,,,
digoxin:IV+ORAL,Digoxin,"ORAL, IV",All values: Adult maintenance dosing: Use label maintenance table by lean body weight and renal function; monitor serum concentrations usually once daily for oral maintenance,,"Maintenance dose depends on lean body weight, renal function, age, interacting drugs, response, and serum digoxin concentrations.",https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=51925501-ab5b-4e12-a67e-ec2b4b592e83,draft,,,,,
lisinopril:ORAL,Lisinopril,ORAL,"> 30: Renal impairment: No renal dose adjustment usual adult schedule by indication
10-30: Initial dose; hypertension/HFrEF/acute MI examples in label: Half usual recommended initial dose once daily; titrate as tolerated up to 40 mg/day
< 10: Hemodialysis or CrCl <10: 2.5 mg once daily initially",,Adult initial dose adjustment; titrate to response and indication-specific maximum.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1ccc946a-f8f4-4136-9b3e-4bf95e69c94f,draft,,,,,
enalapril:ORAL,Enalapril maleate,ORAL,"> 30: Hypertension; CrCl >30: 5 mg once daily initially
0-30: Hypertension; CrCl <=30: 2.5 mg once daily initially
All values: Dialysis patients: 2.5 mg on dialysis days; adjust nondialysis days by blood pressure response dialysis-day dosing",,Adult hypertensive renal impairment table; heart failure titration requires monitoring.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2cc892e2-1d91-e52a-e063-6394a90a6649,draft,,,,,
ramipril:ORAL,Ramipril,ORAL,"> 40: Estimated CrCl >40: No renal dose adjustment usual adult schedule by indication
0-40: Hypertension with renal impairment: 1.25 mg once daily initially; titrate to max 5 mg/day | Heart failure post-MI with renal impairment: 1.25 mg once daily initially; may increase to 1.25 mg twice daily then max 2.5 mg twice daily",,Adult renal impairment initial dosing differs for hypertension and post-MI heart failure.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a8cdec12-81d1-4ef4-82c0-d05d93c37a07,draft,,,,,
benazepril:ORAL,Benazepril hydrochloride,ORAL,< 30: Adults with GFR <30 mL/min/1.73 m2: 5 mg once daily initially; titrate to max 40 mg/day,,Adult renal impairment initial dose; titrate to blood pressure response.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e0ddcfbc-c9d8-45b1-9c11-0d1eff8c1e9e,draft,,,,,
trandolapril:ORAL,Trandolapril,ORAL,< 30: CrCl <30 mL/min or hepatic cirrhosis: 0.5 mg once daily initially; titrate to response,,Adult renal impairment or hepatic cirrhosis starting dose.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0107d19a-b43a-4a36-8b8c-4dfc247630e9,draft,,,,,
quinapril:ORAL,Quinapril,ORAL,"> 60: Hypertension; maximum recommended initial dose: 10 mg once daily initially
30-60: Hypertension; maximum recommended initial dose: 5 mg once daily initially
10-30: Hypertension; maximum recommended initial dose: 2.5 mg once daily initially
< 10: CrCl <10: Insufficient data for dosage recommendation not applicable
> 30: Heart failure with renal impairment: 5 mg initial dose; may proceed to twice daily if tolerated
10-30: Heart failure with renal impairment: 2.5 mg initial dose; may proceed to twice daily if tolerated",,Adult maximum recommended initial doses by creatinine clearance; heart failure has a separate renal/hyponatremia note.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8ded0773-3aec-4e89-9836-d22a5a84abf0,draft,,,,,
perindopril:ORAL,Perindopril erbumine,ORAL,"< 30: CrCl <30 mL/min: Not recommended not applicable
>= 30: Renal impairment with CrCl >=30 mL/min: 2 mg initially; do not exceed 8 mg/day once daily",,Adult renal dose adjustment; not recommended when CrCl is below 30 mL/min.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=87768fbf-7c63-47da-8925-0316f343d6ef,draft,,,,,
losartan:ORAL,Losartan potassium,ORAL,All values: Renal impairment unless also volume depleted: No renal dose adjustment usual adult schedule by indication,,Adult renal impairment statement; volume-depleted patients may need lower initial dosing.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=25651749-8950-43ff-bcbd-3bb85f57a360,draft,,,,,
valsartan:ORAL,Valsartan,ORAL,"30-90: Mild or moderate renal impairment: No renal dose adjustment usual adult schedule by indication
< 30: Severe renal impairment: Safety and effectiveness not established not applicable",,Adult renal impairment statement; severe renal impairment lacks established safety/effectiveness.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6e2cd953-88bf-4094-8ba8-2c9ba020f4d7,draft,,,,,
candesartan:ORAL,Candesartan cilexetil,ORAL,"All values: Renal insufficiency, including severe impairment/hemodialysis pharmacokinetic population: No initial dosage adjustment usual adult schedule by indication",,Adult renal insufficiency statement; monitor renal function and potassium clinically.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4621249c-1f44-4d95-8513-a1a2b1859e41,draft,,,,,
sacubitril-valsartan:ORAL,Sacubitril and valsartan,ORAL,"< 30: Severe renal impairment, eGFR <30 mL/min/1.73 m2: Half the usually recommended starting dose twice daily; titrate per heart failure schedule
>= 30: Mild or moderate renal impairment: No starting dose adjustment usual adult heart failure schedule",,Adult heart failure dosing; same half-starting-dose rule may also apply when ACEi/ARB naive or previously on low doses.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ec37696b-eaac-4c74-9328-94857ce998e5,draft,,,,,
spironolactone:ORAL,Spironolactone,ORAL,"> 50: Heart failure with serum potassium <=5.0 mEq/L: 25 mg once daily initially; may increase to 50 mg once daily if tolerated
30-50: Heart failure; consider due to hyperkalemia risk: 25 mg every other day initially
< 30: Heart failure, eGFR <30 mL/min/1.73 m2: No label initiation recommendation manual specialist review; hyperkalemia risk",,Adult HFrEF/NYHA III-IV dosing; requires serum potassium <=5 mEq/L and close potassium/renal monitoring. Label gives initiation guidance only for eGFR >=30.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=860b08bf-c6c1-4310-8510-10b6779f3d59,draft,,,,,
eplerenone:ORAL,Eplerenone,ORAL,"0-30: All patients: Contraindicated not applicable
< 50: Hypertension: Contraindicated not applicable
> 30: Heart failure post-MI; potassium-guided dosing table applies: 25 mg once daily initially; titrate to 50 mg once daily as tolerated",,Contraindications differ by indication; post-MI HFrEF dose also changes by serum potassium and moderate CYP3A inhibitors.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1a52bedc-8e2c-4116-a296-a87770676b4a,draft,,,,,
torsemide:ORAL,Torsemide,ORAL,"All values: Manual review: edema associated with chronic renal failure; not renal impairment adjustment: 20 mg once daily initially; double as needed, doses >200 mg not adequately studied",,"Manual review: renal-disease indication dosing for edema associated with chronic renal failure, not a CrCl/eGFR dose-adjustment rule.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7fc14338-92e4-cf57-a3e8-ef64d8d1026c,draft,,,,,
metolazone:ORAL,Metolazone,ORAL,All values: Manual review: edema of renal disease; not renal impairment adjustment: 5 to 20 mg once daily; titrate to response,,"Manual review: renal-disease indication dosing for edema of renal disease, not a CrCl/eGFR dose-adjustment rule.",https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=efa5244a-9cdf-a806-e053-2a95a90a912e,draft,,,,,
rosuvastatin:ORAL,Rosuvastatin calcium,ORAL,"< 30: Severe renal impairment, CrCl <30 mL/min/1.73 m2, not on hemodialysis: 5 mg initially; do not exceed 10 mg/day once daily
>= 30: Mild or moderate renal impairment: No renal dose adjustment usual adult schedule by indication",,Adult severe renal impairment dosing when not on hemodialysis.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=598ecc9c-bfd4-4247-a2c3-bd0ce5aa20d0,draft,,,,,
fenofibrate:ORAL,Fenofibrate,ORAL,"30-59: Mild to moderate renal impairment, eGFR 30 to <60 mL/min/1.73 m2: 48 mg once daily initially; increase only after evaluating renal function and triglycerides
< 30: Severe renal impairment, ESRD, or dialysis: Contraindicated not applicable",,Adult 48/145 mg tablet labeling; renal function should be assessed before and during therapy.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=283e754e-6ffa-4d6a-882f-9bbb3cbc8ca8,draft,,,,,
fenofibric-acid:ORAL,Fenofibric acid,ORAL,"30-59: Mild to moderate renal impairment, eGFR 30 to <60 mL/min/1.73 m2: 45 mg once daily initially; increase only after evaluating renal function and triglycerides
< 30: Severe renal impairment, ESRD, or dialysis: Contraindicated not applicable",,Adult delayed-release capsule labeling; renal function should be assessed before and during therapy.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=daa488be-f580-430c-a72c-80ac31bb3e40,draft,,,,,
pitavastatin:ORAL,Pitavastatin,ORAL,"15-59: Moderate or severe renal impairment, eGFR 15-59 mL/min/1.73 m2: 1 mg initially; do not exceed 2 mg/day once daily
All values: ESRD receiving hemodialysis: 1 mg initially; do not exceed 2 mg/day once daily
>= 60: Mild renal impairment: No renal dose adjustment usual adult schedule",,Adult renal dosing; maximum is lower for moderate/severe renal impairment and ESRD on hemodialysis.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f11ee80-871e-4f13-e063-6394a90af19d,draft,,,,,
bivalirudin:IV,Bivalirudin,IV,">= 30: Maintenance infusion; bolus dose needs no renal reduction: No renal infusion reduction usual adult PCI infusion schedule
< 30: Maintenance infusion; bolus dose needs no renal reduction: 1 mg/kg/hour continuous infusion
All values: Hemodialysis: 0.25 mg/kg/hour continuous infusion",,"Adult PCI anticoagulant labeling; bolus is unchanged by renal impairment, but maintenance infusion is reduced.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4119b710-ef30-4e3e-b99a-38e42b4b3fca,draft,,,,,
eptifibatide:IV,Eptifibatide,IV,">= 50: ACS: 180 mcg/kg IV bolus then 2 mcg/kg/min continuous infusion per ACS duration limits | PCI: 180 mcg/kg IV bolus then 2 mcg/kg/min plus second 180 mcg/kg bolus 10 minutes later continuous infusion per PCI duration limits
< 50: ACS: 180 mcg/kg IV bolus then 1 mcg/kg/min continuous infusion per ACS duration limits | PCI: 180 mcg/kg IV bolus then 1 mcg/kg/min plus second 180 mcg/kg bolus 10 minutes later continuous infusion per PCI duration limits
All values: Dependency on renal dialysis: Contraindicated not applicable",,Adult ACS/PCI dosing; bolus remains weight-based while infusion is reduced for CrCl <50 mL/min.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5f46b76b-5c83-49b9-ada8-4ad5cf81a38c,draft,,,,,
tirofiban:IV,Tirofiban hydrochloride,IV,"> 60: NSTE-ACS: 25 mcg/kg IV within 5 minutes, then 0.15 mcg/kg/min continuous infusion for up to 18 hours
0-60: NSTE-ACS with CrCl <=60 mL/min: 25 mcg/kg IV within 5 minutes, then 0.075 mcg/kg/min continuous infusion for up to 18 hours",,Adult NSTE-ACS dosing; CrCl calculated by Cockcroft-Gault using actual body weight.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=13ea7fb8-4b01-4286-9464-26c0b624bc3b,draft,,,,,
argatroban:IV,Argatroban,IV,"All values: Renal dysfunction, including severe renal impairment studied pharmacokinetically: No renal dose adjustment usual adult aPTT/ACT-guided schedule; adjust for hepatic impairment if present",,"Adult HIT/PCI anticoagulant; hepatic impairment, not renal impairment, drives dose reduction.",https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e5ccb93c-f411-4e7e-824a-4a592b4947ec&version=5,draft,,,,,
atenolol:ORAL,Atenolol,ORAL,"15-35: Renal impairment; maximum oral dose: 50 mg once daily maximum
< 15: Renal impairment; maximum oral dose: 25 mg once daily maximum
All values: Hemodialysis: 25 mg or 50 mg after each dialysis under supervision",,Adult maximum oral dosage table for elderly or renally impaired patients; hypertension may require 25 mg starting dose.,https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=290f4de3-8815-466c-81dc-8bc632375896,draft,,,,,
nadolol:ORAL,Nadolol,ORAL,"> 50: Renal failure interval table: Usual dose by indication every 24 hours
31-50: Renal failure interval table: Usual dose by indication every 24 to 36 hours
10-30: Renal failure interval table: Usual dose by indication every 24 to 48 hours
< 10: Renal failure interval table: Usual dose by indication every 40 to 60 hours",,Adult renal failure interval-adjustment table; dose amount remains indication/response based.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2d126308-c58d-4950-9dcb-eaadb1a2054f&version=103,draft,,,,,
ivabradine:ORAL,Ivabradine,ORAL,"15-60: CrCl 15 to 60 mL/min: No renal dose adjustment usual adult heart failure schedule
< 15: CrCl <15 mL/min: No data available not applicable",,Adult heart failure dosing; no data below CrCl 15 mL/min.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=92018a65-38f6-45f7-91d4-a34921b81d0d,draft,,,,,
metformin:ORAL,Metformin,ORAL,">= 45: eGFR >=45 mL/min/1.73 m2: No renal dose adjustment usual adult schedule by indication
30-44.99: eGFR 30-45 mL/min/1.73 m2: Do not initiate; assess benefit/risk if already receiving individualize continuation
< 30: eGFR <30 mL/min/1.73 m2: Contraindicated; discontinue if eGFR falls below 30 do not use",,Type 2 diabetes; renal recommendations are based on eGFR rather than Cockcroft-Gault CrCl.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a2e762ea-732b-a590-e053-2a95a90aa5e5,draft,,,,,
sitagliptin:ORAL,Sitagliptin,ORAL,">= 45: eGFR >=45 mL/min/1.73 m2: 100 mg once daily
30-44.99: eGFR 30-44 mL/min/1.73 m2: 50 mg once daily
< 30: eGFR <30 mL/min/1.73 m2 or ESRD: 25 mg once daily; without regard to dialysis timing",,Type 2 diabetes; eGFR-based adult dosing.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6a970e80-b753-48fa-9fff-87e7a5044982,draft,,,,,
saxagliptin:ORAL,Saxagliptin,ORAL,">= 45: eGFR >=45 mL/min/1.73 m2: 2.5 mg or 5 mg once daily
< 45: eGFR <45 mL/min/1.73 m2 or ESRD: 2.5 mg once daily; administer after hemodialysis",,Type 2 diabetes; eGFR-based adult dosing.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f3ea58bb-0002-4a5d-9213-7e9066e3dc9c,draft,,,,,
alogliptin:ORAL,Alogliptin,ORAL,">= 60: CrCl >=60 mL/min: 25 mg once daily
30-59.99: CrCl 30-59 mL/min: 12.5 mg once daily
< 30: CrCl <30 mL/min or ESRD: 6.25 mg once daily; without regard to hemodialysis timing",,Type 2 diabetes; CrCl-based adult dosing.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b25f155a-1259-47c2-aa3b-7c1356e4c7f6,draft,,,,,
linagliptin:ORAL,Linagliptin,ORAL,All values: Renal impairment: No renal dose adjustment usual adult schedule by indication,,Type 2 diabetes.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cbdbd4b2-c07b-00e1-e053-2995a90a5fc9,draft,,,,,
glimepiride:ORAL,Glimepiride,ORAL,All values: Renal impairment when initiating or retitrating therapy: Start 1 mg; not a renal maintenance maximum once daily with breakfast or first main meal; titrate slowly by glycemic response,,"Type 2 diabetes; renal label language is conservative initiation/titration guidance, not a renal maintenance dose cap.",https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=26cd0240-245f-554a-e063-6394a90a6919,draft,,,,,
dapagliflozin:ORAL,Dapagliflozin,ORAL,">= 45: Glycemic control, eGFR >=45: 5 mg; may increase to 10 mg once daily | HF/CKD/cardiorenal indications, eGFR >=45: 10 mg once daily
25-44.99: Glycemic control, eGFR <45: Not recommended for glycemic control do not initiate for this purpose | HF/CKD/cardiorenal indications, eGFR 25-44: 10 mg once daily
< 25: eGFR <25: Initiation not recommended; continuation may be allowed for cardiorenal risk reduction 10 mg once daily if continuing per indication",,Renal guidance differs for glycemic control versus HF/CKD/cardiorenal indications.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=17586ec6-0104-4b08-ad87-12a837568d6c,draft,,,,,
canagliflozin:ORAL,Canagliflozin,ORAL,">= 60: eGFR >=60 mL/min/1.73 m2: 100 mg; may increase to 300 mg once daily before first meal
30-59.99: eGFR 30-59 mL/min/1.73 m2: Maximum 100 mg once daily before first meal
< 30: eGFR <30 mL/min/1.73 m2: Initiation not recommended; selected albuminuric patients may continue 100 mg once daily if continuing",,Type 2 diabetes/cardiorenal indications; continuation below eGFR 30 is limited to albuminuric kidney disease risk reduction.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e946ba3-02c4-4a10-9d5e-f2d87b534dc3,draft,,,,,
